ROW_NO	LONG_YN	DEAL_YN	PRDT_CD	PRDT_NM	MODEL_NM	PRDT_3PL_CD	PRDT_TP	PRDT_TP_CD	PRDT_TP_NM	STCK_TP	STCK_TP_CD	STCK_TP_NM	WHSE_CD	WHSE_NM	STCK_SUM_QTY	STCK_RSV_QTY	STCK_CAN_QTY	MAJ_CTGR_CD	MAJ_CTGR_NM	MID_CTGR_CD	MID_CTGR_NM	MIN_CTGR_CD	MIN_CTGR_NM	PM_EMPY_CD	PM_EMPY_NM	INV_COST_PR	INV_COST_AMT	UPDATE_ON	MAKR_ID	MAKR_NM	CUST_T2_NM	PURC_ORD_EMPY_CD	PURC_ORD_EMPY_NM	USD_PURC_PR	UPD_DTM
240	N	N	MP202512190013	Rally Bar-Graphite	960-001393	GD202111080110	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	20	0	20	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			4357740.0	87154800.0	2025-12-23T09:47:58.337	100042	Logitech	BASE	ME00000020	김민회	2950.0	2025-12-23T09:47:58.333
241	Y	N	MP202506180011	Rally Bar-Graphite	960-001393	GD202111080110	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	14	6	8	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			4014655.0	56205170.0	2025-12-17T15:10:02.093	100042	Logitech	BASE	ME00000020	김민회	2950.0	2025-06-27T14:39:16.207
242	Y	N	MP202502120008	Rally Bar-Graphite	960-001393	GD202111080110	GD	GD	상품	0	0	양품	MW10000001	대여데모가상창고	1	0	1	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			4287825.0	4287825.0	2025-09-03T10:05:01.9	100042	Logitech	BASE	ME00000020	김민회	2950.0	2025-02-14T15:35:14.84
243	N	N	MP202510200016	Rally Bar-Graphite	960-001393	GD202111080110	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	30	0	30	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			4186345.0	125590350.0	2025-10-22T10:46:27.25	100042	Logitech	BASE	ME00000020	김민회	2950.0	2025-10-22T10:46:27.243
244	Y	N	MP202301150246	Rally Bar-Graphite	960-001393	GD202111080110	GD	GD	상품	0	0	양품	MW00000001	본사임시창고	3	0	3	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			4047432.7	12142298.1	2025-02-03T15:34:26.847	100042	Logitech	BASE	ME00000019	차재호	2950.0	2025-01-24T16:04:31.5
245	N	N	MP202510240008	Rally Bar-Graphite	960-001393	GD202111080110	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	43	0	43	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			4289300.0	184439900.0	2025-11-12T17:20:57.477	100042	Logitech	BASE	ME00000020	김민회	2950.0	2025-11-12T17:20:57.477
246	N	N	MP202509180040	Rally Bar-Graphite	960-001393	GD202111080110	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	1	0	1	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			4111120.0	4111120.0	2025-11-27T14:20:01.613	100042	Logitech	BASE	ME00000020	김민회	2950.0	2025-09-24T14:51:34.737
247	Y	N	MP202502030032	Rally Bar-Graphite	960-001393	GD202111080110	GD	GD	상품	1	1	불량	MW00000001	본사임시창고	1	0	1	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			4277500.0	4277500.0	2025-06-11T14:20:37.98	100042	Logitech	BASE	ME00000020	김민회	2950.0	2025-02-11T15:50:24.947
248	Y	N	MP202301150246	Rally Bar-Graphite	960-001393	GD202111080110	GD	GD	상품	1	1	불량	MW00000001	본사임시창고	1	0	1	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			4047432.7	4047432.7	2025-03-18T14:15:40.523	100042	Logitech	BASE	ME00000019	차재호	2950.0	2025-01-24T16:04:31.5
249	Y	N	MP202506180011	Rally Bar-Graphite	960-001393	GD202111080110	GD	GD	상품	1	1	불량	MW00000001	본사임시창고	1	0	1	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			4014655.0	4014655.0	2025-12-09T09:46:46.577	100042	Logitech	BASE	ME00000020	김민회	2950.0	2025-06-27T14:39:16.207
250	Y	N	MP202504210026	Rally Bar-Graphite	960-001393	GD202111080110	GD	GD	상품	1	1	불량	MW00000001	본사임시창고	1	0	1	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			4193425.0	4193425.0	2025-07-02T15:44:14.893	100042	Logitech	BASE	ME00000020	김민회	2950.0	2025-04-23T14:42:35.38
251	N	N	MP202511120021	Rally Camera	960-001226	GD202205310016	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	19	0	19	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			1474353.9	28012724.1	2025-12-23T18:45:05.6	100042	Logitech	BASE	ME00000020	김민회	1010.87	2025-11-18T14:01:07.497
252	N	N	MP202509180039	Rally Camera	960-001226	GD202205310016	GD	GD	상품	0	0	양품	MW10000001	대여데모가상창고	1	0	1	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			1408748.43	1408748.43	2025-11-06T18:20:01.38	100042	Logitech	BASE	ME00000020	김민회	1010.87	2025-09-24T14:51:34.76
253	N	N	MP202509180039	Rally Camera	960-001226	GD202205310016	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	2	2	0	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			1408748.43	2817496.86	2025-12-22T18:55:05.51	100042	Logitech	BASE	ME00000020	김민회	1010.87	2025-09-24T14:51:34.76
254	Y	N	MP202301150240	Rally Camera	960-001226	GD202205310016	GD	GD	상품	1	1	불량	MW00000001	본사임시창고	3	0	3	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			1386448.45	4159345.35	2025-03-17T11:07:43.373	100042	Logitech	BASE	ME00000019	차재호	1010.87	2024-11-27T11:20:10.643
255	Y	N	MP202507160022	Rally Camera	960-001226	GD202205310016	GD	GD	상품	1	1	불량	MW00000001	본사임시창고	1	0	1	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			1387924.51	1387924.51	2025-09-01T12:16:42.2	100042	Logitech	BASE	ME00000020	김민회	1010.87	2025-07-16T11:03:40.66
256	N	N	MP202512170016	Rally Plus	960-001224	GD202010230037	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	35	0	35	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			3074356.48	107602476.8	2025-12-18T16:23:31.793	100042	Logitech	BASE	ME00000020	김민회	2087.99	2025-12-18T16:23:31.793
257	N	N	MP202512170009	Rally Plus	960-001224	GD202010230037	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	39	0	39	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			3074356.48	119899902.72	2025-12-23T14:00:06.357	100042	Logitech	BASE	ME00000020	김민회	2087.99	2025-12-18T15:55:44.543
258	N	N	MP202510200015	Rally Plus	960-001224	GD202010230037	GD	GD	상품	0	0	양품	MW10000001	대여데모가상창고	1	0	1	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			2963066.609	2963066.609	2025-12-08T19:10:01.6	100042	Logitech	BASE	ME00000020	김민회	2087.99	2025-10-22T10:46:27.243
259	N	N	MP202509180038	Rally Plus	960-001224	GD202010230037	GD	GD	상품	0	0	양품	MW10000001	대여데모가상창고	1	0	1	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			2909822.86	2909822.86	2025-11-06T18:20:01.38	100042	Logitech	BASE	ME00000020	김민회	2087.99	2025-09-24T14:51:34.8
260	N	N	MP202510200015	Rally Plus	960-001224	GD202010230037	GD	GD	상품	1	1	불량	MW00000001	본사임시창고	3	0	3	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			2963066.609	8889199.827	2025-12-09T09:56:38.6	100042	Logitech	BASE	ME00000020	김민회	2087.99	2025-10-22T10:46:27.243
261	Y	N	MP202502030030	Rally Plus	960-001224	GD202010230037	GD	GD	상품	1	1	불량	MW00000001	본사임시창고	1	0	1	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			3027585.5	3027585.5	2025-04-07T14:48:01.24	100042	Logitech	BASE	ME00000020	김민회	2087.99	2025-02-11T15:50:24.947
262	Y	N	MP202301150239	Rally Plus	960-001224	GD202010230037	GD	GD	상품	1	1	불량	MW00000001	본사임시창고	4	0	4	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			2843911.0	11375644.0	2025-03-10T12:54:25.66	100042	Logitech	BASE	ME00000019	차재호	2087.99	2025-01-24T16:04:31.5
263	Y	N	MP202506020011	Rally Plus	960-001224	GD202010230037	GD	GD	상품	1	1	불량	MW00000001	본사임시창고	4	0	4	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			2872447.84	11489791.36	2025-06-05T14:20:31.487	100042	Logitech	BASE	ME00000020	김민회	2087.99	2025-06-05T10:00:41.547
264	Y	N	MP202506100008	Rally Plus	960-001224	GD202010230037	GD	GD	상품	1	1	불량	MW00000001	본사임시창고	1	0	1	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			2839457.6	2839457.6	2025-07-07T17:04:48.35	100042	Logitech	BASE	ME00000020	김민회	2087.99	2025-06-13T11:53:36.403
265	Y	N	MP202508060028	Rally Plus	960-001224	GD202010230037	GD	GD	상품	1	1	불량	MW00000001	본사임시창고	5	0	5	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			2893954.14	14469770.7	2025-09-04T11:41:56.14	100042	Logitech	BASE	ME00000020	김민회	2087.99	2025-08-12T15:09:59.11
266	Y	N	MP202507160020	Rally System	960-001218	GD202207200059	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	14	0	14	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			2372530.27	33215423.78	2025-07-16T11:03:40.667	100042	Logitech	BASE	ME00000020	김민회	1727.99	2025-07-16T11:03:40.66
267	Y	N	MP202506180010	Rally System	960-001218	GD202207200059	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	12	0	12	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			2351621.59	28219459.08	2025-12-09T15:20:02.003	100042	Logitech	BASE	ME00000020	김민회	1727.99	2025-06-27T14:39:16.207
268	N	N	MP202511120020	Rally System	960-001218	GD202207200059	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	12	0	12	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			2520273.42	30243281.04	2025-11-18T14:01:07.52	100042	Logitech	BASE	ME00000020	김민회	1727.99	2025-11-18T14:01:07.52
269	Y	N	MP202506180010	Rally System	960-001218	GD202207200059	GD	GD	상품	1	1	불량	MW00000001	본사임시창고	1	0	1	MC00000003	Logitech VC	MC00000018	Camera	MC00000077	Large			2351621.59	2351621.59	2025-11-17T13:56:44.293	100042	Logitech	BASE	ME00000020	김민회	1727.99	2025-06-27T14:39:16.207
270	N	N	MP202510200013	Rally Camera Extension Kit	952-000217	GD202510200089	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	8	2	6	MC00000003	Logitech VC	MC00000018	Camera	MC00000079	Option			667587.213	5340697.704	2025-10-22T10:46:27.25	100042	Logitech	BASE	ME00000020	김민회	470.43	2025-10-22T10:46:27.243
271	N	N	MP202510200014	Rally Camera Extension Kit	952-000226	GD202510200090	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	12	0	12	MC00000003	Logitech VC	MC00000018	Camera	MC00000079	Option			110703.991	1328447.892	2025-10-22T10:46:27.25	100042	Logitech	BASE	ME00000020	김민회	78.01	2025-10-22T10:46:27.243
272	Y	N	MP202504230026	Scribe	960-001332	GD202108090051	GD	GD	상품	0	0	양품	MW10000001	대여데모가상창고	1	0	1	MC00000003	Logitech VC	MC00000018	Camera	MC00000079	Option			1418000.0	1418000.0	2025-10-21T09:30:01.767	100042	Logitech	재고이관	ME00000020	김민회	0.0	2025-05-02T09:12:49.933
273	Y	N	MP202504230026	Scribe	960-001332	GD202108090051	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	13	0	13	MC00000003	Logitech VC	MC00000018	Camera	MC00000079	Option			1418000.0	18434000.0	2025-11-05T13:45:01.13	100042	Logitech	재고이관	ME00000020	김민회	0.0	2025-05-02T09:12:49.933
274	Y	N	MP202504090007	Logitech Webcam Brio-BOX	960-001105	GD202504090067	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	1	0	1	MC00000003	Logitech VC	MC00000019	Personal	MC00000073	Webcam			228133.17	228133.17	2025-04-10T16:43:46.903	100042	Logitech	BASE	ME00000020	김민회	155.51	2025-04-10T16:43:46.9
275	Y	N	MP202302010013	Logitech Zone Wired	981-001097	GD202206230029	GD	GD	상품	1	1	불량	MW00000001	본사임시창고	1	0	1	MC00000003	Logitech VC	MC00000019	Personal	MC00000082	Headset			104511.93	104511.93	2025-03-25T14:05:09.1	100042	Logitech	BASE	ME00000019	차재호	77.69	2024-08-23T16:23:56.823
276	N	Y	MP202511250024	Logitech ConferenceCam Connect	960-001035	GD202010230036	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000075	Small			542000.0	542000.0	2025-12-05T16:56:52.22	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
277	Y	Y	MP202506160010	Logitech ConferenceCam Connect	960-001035	GD202010230036	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	3	0	3	MC00000003	Logitech VC	MC00000020	외부매입	MC00000075	Small			534000.0	1602000.0	2025-10-23T17:35:01.5	100042	Logitech	세븐앤씨	ME00000069	박형근	0.0	2025-07-03T16:09:27.85
278	N	N	MP202511250027	Meet Up_OB	960-001101	GD202512040088	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000075	Small			945000.0	945000.0	2025-12-05T16:56:52.22	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
279	Y	N	MP202402050002	Damage Box_Rally Bar Mini EU/AP Graphite	960-001395	GD202402050036	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000076	Camera			3108000.0	3108000.0	2024-02-05T12:12:40.737	100042	Logitech	BASE	ME00000019	차재호	0.0	2024-02-05T12:12:22.893
280	N	N	MP202511250031	Rally Bar Mini EU/AP Graphite_OB	960-001395	GD202512040090	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	2	0	2	MC00000003	Logitech VC	MC00000020	외부매입	MC00000076	Camera			3403000.0	6806000.0	2025-12-05T16:56:52.22	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
281	N	N	MP202511250030	Scribe_OB	960-001332	GD202512040089	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000076	Camera			1576000.0	1576000.0	2025-12-05T16:56:52.22	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
282	Y	N	MP202309130004	Rally Bar White	960-001394	GD202111080109	GD	GD	상품	1	1	불량	MW00000001	본사임시창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000080	Large			3980000.0	3980000.0	2025-02-28T10:18:12.5	100042	Logitech				0.0	2023-09-22T17:44:42.45
283	Y	N	MP202301150256	Rally Bar Mini White	960-001396	GD202109270173	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000081	Midium			2950000.0	2950000.0	2025-07-14T10:46:53.993	100042	Logitech	BASE	ME00000019	차재호	0.0	1900-01-01T00:00:00
284	N	N	MP202511250033	Sight Graphite_OB	960-001510	GD202512040091	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	2	0	2	MC00000003	Logitech VC	MC00000020	외부매입	MC00000081	Midium			2080000.0	4160000.0	2025-12-05T16:56:52.22	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
285	Y	N	MP202301150402	Chromebox for Google	GQE15C		GD	GD	상품	0	0	양품	MW10000001	대여데모가상창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000086	PC			960000.0	960000.0	2023-03-13T14:04:53.017	100079	Google	BASE	ME00000019	차재호	0.0	1900-01-01T00:00:00
286	Y	N	MP202507310005	Chromebox for Google	GQE15C		GD	GD	상품	0	0	양품	MW00000001	본사임시창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000086	PC			1160000.0	1160000.0	2025-07-31T12:18:08.28	100079	Google	Demo	ME00000073	강진구	0.0	2025-07-31T12:18:08.277
287	N	N	MP202510130014	Chromebox for Google 4세대	CBXUS190020	GD202401030106	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	22	0	22	MC00000003	Logitech VC	MC00000020	외부매입	MC00000086	PC			1051425.0	23131350.0	2025-12-10T12:05:01.93	100079	Google	BASE	ME00000020	김민회	750.0	2025-10-22T09:28:29.663
288	N	N	MP202510130015	Chromebox for Google 4세대	CBXUS190020-GL	GD202510130061	GD	GD	상품	0	0	양품	MW10000001	대여데모가상창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000086	PC			1005290.0	1005290.0	2025-12-10T18:25:01.533	100079	Google	BASE	ME00000020	김민회	715.0	2025-10-22T09:28:29.64
289	N	N	MP202510130015	Chromebox for Google 4세대	CBXUS190020-GL	GD202510130061	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	6	0	6	MC00000003	Logitech VC	MC00000020	외부매입	MC00000086	PC			1005290.0	6031740.0	2025-12-10T18:25:01.533	100079	Google	BASE	ME00000020	김민회	715.0	2025-10-22T09:28:29.64
290	N	N	MP202511250036	Chromebox for Google 4세대_OB	CBXUS190020	GD202512080100	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000086	PC			1250000.0	1250000.0	2025-12-05T16:56:52.22	100079	Google	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
291	Y	N	MP202301150399	NUC for Zoom	NUC11TNKI5-ZM		GD	GD	상품	0	0	양품	MW10000001	대여데모가상창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000086	PC			829000.0	829000.0	2023-03-13T14:04:53.013	100070	Vecow Co., Ltd.	BASE	ME00000019	차재호	0.0	1900-01-01T00:00:00
292	Y	N	MP202301150400	NUC for Zoom	NUC11TNKI5-ZM		GD	GD	상품	0	0	양품	MW10000001	대여데모가상창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000086	PC			829000.0	829000.0	2023-03-13T14:04:53.017	100070	Vecow Co., Ltd.	BASE	ME00000019	차재호	0.0	1900-01-01T00:00:00
293	Y	Y	MP202412100030	Roommate	950-000084	GD202112150145	GD	GD	상품	0	0	양품	MW00000001	본사임시창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000086	PC			1150000.0	1150000.0	2025-07-31T11:04:36.497	100042	Logitech	DEAL	ME00000022	이석재	0.0	2024-12-16T09:33:49.6
294	N	N	MP202511250035	Expansion Mic for MeetUp_OB	989-000405	GD202512040092	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000118	Mic			265000.0	265000.0	2025-12-05T16:56:52.22	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
295	N	N	MP202511030037	Logitech R500s Graphite	910-006523	GD202305190079	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	1	1	0	MC00000003	Logitech VC	MC00000020	외부매입	MC00000223	레이저포인트			50000.0	50000.0	2025-11-06T09:22:15.283	100042	Logitech	한빛	ME00000069	박형근	0.0	2025-11-06T09:22:15.28
296	N	N	MP202509290005	LOGITECH MX KEYS MINI(GRAPHITE)	920-010510		GD	GD	상품	0	0	양품	MW00000001	본사임시창고	3	0	3	MC00000003	Logitech VC	MC00000020	외부매입	MC00000237	키보드마우스			110000.0	330000.0	2025-09-30T17:46:07.647	100042	Logitech	한빛인프라	ME00000069	박형근	0.0	2025-09-30T17:43:35.463
297	Y	N	MP202508190026	MK295 Silent Keyboard+Mouse Combo (Black)	920-009812		GD	GD	상품	0	0	양품	MW00000001	본사임시창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000237	키보드마우스			33000.0	33000.0	2025-08-19T15:53:41.33	100042	Logitech	휴맥스	ME00000069	박형근	0.0	2025-08-19T15:53:41.33
298	Y	N	MP202508190027	MK295 Silent Keyboard+Mouse Combo (White)	920-009832		GD	GD	상품	0	0	양품	MW00000001	본사임시창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000237	키보드마우스			33000.0	33000.0	2025-08-19T15:53:41.33	100042	Logitech	휴맥스	ME00000069	박형근	0.0	2025-08-19T15:53:41.33
299	N	N	MP202511250015	Logitech Compute Mount	952-000097	GD202206230027	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	9	0	9	MC00000003	Logitech VC	MC00000020	외부매입	MC00000240	Mount			126000.0	1134000.0	2025-12-05T16:56:52.217	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
300	Y	N	MP202401080007	Logitech Compute Mount	952-000097	GD202206230027	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000240	Mount			119000.0	119000.0	2024-10-08T09:00:02.667	100042	Logitech	BASE	ME00000019	차재호	0.0	2024-01-08T15:51:19.707
301	N	N	MP202511250018	Mic Pod Pendant Mount_OB	952-000123	GD202512040086	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	8	0	8	MC00000003	Logitech VC	MC00000020	외부매입	MC00000240	Mount			126000.0	1008000.0	2025-12-05T16:56:52.22	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
302	N	N	MP202511250012	Rally Mic Pod Mount	952-000002	GD202101150011	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	19	0	19	MC00000003	Logitech VC	MC00000020	외부매입	MC00000240	Mount			76000.0	1444000.0	2025-12-17T14:25:01.58	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
303	N	N	MP202511250017	Scribe Glass Mount	952-000120	GD202212190047	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	3	0	3	MC00000003	Logitech VC	MC00000020	외부매입	MC00000240	Mount			63000.0	189000.0	2025-12-05T16:56:52.217	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
304	N	N	MP202511250016	Scribe Polarizer	952-000116	GD202212190046	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000240	Mount			208000.0	208000.0	2025-12-05T16:56:52.217	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
305	N	N	MP202511250019	Tap Scheduler Angle Mount-Graphite	952-000126	GD202212190049	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	2	0	2	MC00000003	Logitech VC	MC00000020	외부매입	MC00000240	Mount			113000.0	226000.0	2025-12-05T16:56:52.22	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
306	N	N	MP202511250010	Tap Table Mount	939-001811	GD202109270172	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	2	0	2	MC00000003	Logitech VC	MC00000020	외부매입	MC00000240	Mount			271000.0	542000.0	2025-12-05T16:56:52.217	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
307	N	N	MP202509240009	MX Anywhere 3S 블랙	910-006935	GD202509240192	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	3	0	3	MC00000003	Logitech VC	MC00000020	외부매입	MC00000259	Option			73000.0	219000.0	2025-09-25T11:51:18.53	100042	Logitech	버퍼	ME00000069	박형근	0.0	2025-09-25T11:51:18.527
308	Y	Y	MP202507280002	MX Keys S 콤보 블랙	920-011618		GD	GD	상품	0	0	양품	MW00000001	본사임시창고	2	0	2	MC00000003	Logitech VC	MC00000020	외부매입	MC00000259	Option			200000.0	400000.0	2025-09-03T16:28:32.957	100042	Logitech	DEAL	ME00000069	박형근	0.0	2025-09-03T16:28:12.873
309	N	Y	MP202511250021	5m USB Alt Model Cable Accessory for Meetup 2	952-000195	GD202501030123	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	1	0	1	MC00000003	Logitech VC	MC00000020	외부매입	MC00000262	Cable			170000.0	170000.0	2025-12-05T16:56:52.22	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
310	Y	Y	MP202503250045	5m USB Alt Model Cable Accessory for Meetup 2	952-000195	GD202501030123	GD	GD	상품	1	1	불량	MW00000001	본사임시창고	2	0	2	MC00000003	Logitech VC	MC00000020	외부매입	MC00000262	Cable			164000.0	328000.0	2025-04-03T14:31:53.62	100042	Logitech	DEAL	ME00000022	이석재	0.0	2025-03-26T10:38:40.843
311	N	Y	MP202511250020	Rally Mic Pod Cat Coupler	952-000181	GD202402160170	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	4	1	3	MC00000003	Logitech VC	MC00000020	외부매입	MC00000262	Cable			101000.0	404000.0	2025-12-16T14:55:01.413	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
312	N	Y	MP202512040009	Rally Mic Pod Cat Coupler_OB	952-000181	GD202512040087	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	2	0	2	MC00000003	Logitech VC	MC00000020	외부매입	MC00000262	Cable			101000.0	202000.0	2025-12-05T16:56:52.22	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
313	N	N	MP202511250009	Strong USB 3.1 Cable - 10m	939-001799	GD202105280093	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	3	0	3	MC00000003	Logitech VC	MC00000020	외부매입	MC00000262	Cable			328000.0	984000.0	2025-12-16T18:05:27.673	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
314	N	N	MP202511250007	Rally Pod Hub, Graphite_OB	939-001647	GD202512040085	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	2	0	2	MC00000003	Logitech VC	MC00000020	외부매입	MC00000281	HUB			221000.0	442000.0	2025-12-05T16:56:52.22	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
315	N	N	MP202511250029	Logitech Webcam Brio	960-001105	GD202011090208	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	2	0	2	MC00000003	Logitech VC	MC00000020	외부매입	MC00000285	Webcam			240000.0	480000.0	2025-12-05T16:56:52.22	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
316	N	N	MP202511250025	Logitech Webcam C925e	960-001075	GD202010230034	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	2	0	2	MC00000003	Logitech VC	MC00000020	외부매입	MC00000285	Webcam			110000.0	220000.0	2025-12-05T16:56:52.22	100042	Logitech	마인드온	ME00000069	박형근	0.0	2025-12-05T16:56:52.21
317	N	N	MP202506160009	Logitech Webcam C925e	960-001075	GD202010230034	GD	GD	상품	0	0	양품	MW20000001	대원위탁창고	2	0	2	MC00000003	Logitech VC	MC00000020	외부매입	MC00000285	Webcam			106000.0	212000.0	2025-12-01T11:55:01.17	100042	Logitech	세븐앤씨및	ME00000069	박형근	0.0	2025-11-28T15:07:18.033
